Clarissa, 37,418,1045,1129,1219,1588,2756,2793,3104,5533,5628,5680,5722,6039,10076,10396,10482,13253,13342,13549,14292,14321,14537,14616,14848,14969,15191,15308,15361,15455,15942,16139,16160,16341,16525,16544,16814,16867,16906,16955,16970,17202,17258,17543,17726,17743,17825,17853,18117,18185,18272,18421,18433,18580,18602,18744,19447,19966,19972,20881,21113,22146,22237,22260,22311,22475,22556,22698,23078,23139,23161,23308,23600,23754,23876,23893,23957,24015,24096,24462,24469,27624,27725,28553,28569,28712,28832,28884,28990,29277,29825,29917,30190,30439,30637,30783,30847,35996,39699,40262,40414,40480,40561,40812,40824,42417,43461,43531,43557,43618,43786,44016,44142,44547,44576,44599,44801,45152,45467,45538,45580,45610,45751,45931,47017,47076,47487,47838,48205,48218,48258,48299,48433,48743,48757,48808,48866,49137,49164,49189,49261,49326,49580,51837,51877,58386,58559,58948,60491,61167,61349,62752,64690,64772,65392,65435,65837,66254,66290,66400,66464,66597,67235,67468,67900,67977,68082,68085,68313,68428,68495,68536,68808,69220,69261,69281,69300,69338,69405,69424,69462,69497,69518,70066,70069,70353,70396,71066,72267,72312,72349,72416,72585,72617,72634,72836,73145,73153,73169,73188,73322,73484,73495,73772,73777,73790,73817,73938,73982,74113,74247,74263,74314,74357,74431,74458,74479,74596,74907,74992,75613,
Peter, 196,197,236,237,1386,1387,1407,1429,1474,1502,1616,1713,1900,2274,2494,12593,12594,12736,12737,12875,14733,14734,14760,14761,15144,15158,15372,15385,15586,15587,15783,15784,15836,16282,16338,16339,17005,17062,17179,17488,17489,17600,17805,17847,17849,17924,17925,17938,17939,18099,18100,18407,18408,18584,18585,19065,19066,19167,19168,19263,19264,19311,19312,19342,19343,19648,19730,19731,19832,19919,20644,21305,21306,22042,22043,24606,24607,26938,26939,27270,27271,27481,27482,30248,30249,30610,30611,30673,30674,31479,31480,40671,40672,40679,40680,40702,40722,40802,40803,40805,40806,40970,40971,41066,41067,41134,41345,41346,43534,43535,43852,43853,44569,44570,44593,44594,45186,45187,45259,45260,45370,45655,45887,46224,46328,46360,46472,46518,46594,46856,48530,48531,48576,48585,48591,48612,48858,58027,58028,58261,58262,60068,60111,60112,60731,60732,61625,61726,61903,61904,62012,62013,62268,62269,62466,64643,64734,64735,64803,64878,65728,65731,65732,66533,66534,66730,66731,66793,66907,67078,67079,67493,67575,68885,69048,69186,69238,69239,69372,69391,69392,69479,69480,69557,69558,69621,69622,69717,70010,70011,70104,70139,70450,70529,71356,72253,72271,72319,72476,72576,72577,72651,72652,72786,72787,72819,73040,73147,73148,73213,73242,73428,73440,73444,73457,73536,73595,73866,74184,74273,74292,74366,74413,74414,74423,74473,74624,74697,74886,74932,74954,75031,75085,75140,75577,
Septimus, 4724,4757,4854,5018,5069,5082,7207,7251,7388,7682,7792,7825,7866,7877,8425,8427,8766,24653,24657,24731,24934,25067,25578,25610,26111,26645,26697,26770,26807,26864,26904,31788,31835,32345,33098,33604,33722,33829,33965,34065,34171,34181,35116,35245,35323,35383,35801,35846,37139,37217,37383,37451,37571,37696,53432,53888,54063,54557,54851,54947,54986,55008,56592,57701,57780,
Lucrezia, 4877,7369,7470,7686,8532,8921,24610,24769,26811,26867,31584,31698,33055,33218,33417,33623,33732,33773,34009,34095,34505,34662,34710,35002,35364,35600,35681,35726,35764,35803,36025,36730,36818,37190,37619,37651,38264,39014,54293,54349,54548,54564,54775,54827,55102,55313,55520,55527,55532,55601,55723,55930,55971,56581,56798,57316,57488,
