Index,Character Count (including spaces),Word Count
529,32,4
530,573,96
531,84,16
532,182,32
533,31,7
534,82,15
535,111,19
536,12,2
537,45,6
538,21,2
539,108,23
540,382,64
541,325,56
542,206,38
543,57,11
544,133,27
545,36,7
546,79,14
547,22,5
548,38,7
549,339,64
550,38,9
551,11,2
552,31,7
553,61,11
554,211,39
555,359,73
556,6,1
557,28,7
558,13,2
559,264,44
560,50,8
561,106,21
562,5,1
563,5,1
564,17,4
565,60,14
566,28,6
567,37,8
568,47,11
569,102,17
570,97,19
571,231,38
572,113,19
573,148,25
574,40,9
575,203,30
576,237,38
577,90,14
578,515,96
579,9,2
580,124,22
581,90,16
582,36,7
583,815,145
584,29,5
585,61,11
586,80,16
587,89,19
588,84,19
589,442,83
590,15,4
591,13,3
592,139,24
593,387,66
594,11,2
595,37,7
596,15,3
597,555,105
598,13,3
599,13,3
600,228,44
601,116,24
602,38,6
603,72,14
604,57,9
605,38,6
606,237,42
607,408,70
608,467,83
609,21,5
610,43,8
611,76,15
612,220,40
613,86,18
614,47,9
615,87,17
616,126,24
617,120,18
618,806,154
619,25,4
620,119,14
621,33,4
622,196,29
623,224,32
624,60,10
625,19,3
626,220,38
627,303,50
628,42,7
629,49,7
630,44,8
631,116,23
632,57,13
633,130,20
634,210,38
635,178,29
636,200,33
637,54,9
638,34,5
639,17,3
640,36,6
641,133,22
642,46,8
643,56,9
644,374,65
645,72,14
646,14,2
647,23,5
648,30,6
649,59,10
650,96,15
651,32,5
652,57,9
653,125,22
654,14,4
655,47,8
656,121,20
657,68,13
658,54,11
659,311,54
660,315,59
661,14,3
662,12,2
663,68,13
664,25,6
665,99,15
666,185,32
667,17,4
668,16,4
669,159,31
670,224,42
671,68,12
672,39,7
673,54,10
674,294,53
675,270,49
676,330,56
677,29,6
678,128,23
679,168,28
680,25,5
681,412,71
682,78,16
683,393,66
684,102,20
685,28,6
686,350,58
687,232,38
688,11,3
689,11,3
690,35,8
691,46,7
692,398,70
693,50,10
694,149,27
695,34,7
696,204,40
697,769,126
698,79,14
699,394,70
700,32,6
701,30,6
702,60,10
703,47,8
704,163,27
705,36,6
706,46,9
707,204,36
708,24,4
709,392,60
710,19,4
711,768,138
712,80,13
713,92,15
714,113,21
715,270,49
716,85,16
717,109,19
718,20,3
719,19,4
720,10,2
721,43,7
722,115,21
723,76,13
724,36,5
725,133,18
726,126,18
727,152,25
728,83,13
729,428,72
730,49,8
731,254,43
732,138,25
733,4,1
734,212,39
735,89,14
736,99,21
737,100,17
738,191,29
739,28,6
740,97,20
741,276,50
742,100,16
743,42,7
744,149,22
745,45,9
746,332,56
747,103,20
748,188,29
749,195,32
750,213,37
751,267,42
752,194,32
753,1411,245
754,140,27
755,202,39
756,392,73
757,560,90
758,228,34
759,173,28
760,24,5
761,96,18
762,178,32
763,160,29
764,120,21
765,101,19
766,114,17
767,30,8
768,22,3
769,142,25
770,62,13
771,131,23
772,71,11
773,229,38
774,24,5
775,181,33
776,160,27
777,235,39
778,136,24
779,112,21
780,76,15
781,47,8
782,254,47
783,36,6
784,146,26
785,60,11
786,60,11
787,38,6
788,166,28
789,367,63
790,68,12
791,71,13
792,70,12
793,170,27
794,30,6
795,233,40
796,44,7
797,269,48
798,43,8
799,62,11
800,92,16
801,44,10
802,27,5
803,46,9
804,184,32
805,63,11
806,43,7
807,172,30
808,119,23
809,79,10
810,115,21
811,33,5
812,142,23
813,162,29
814,36,8
815,93,15
816,69,12
817,28,7
818,71,13
819,16,4
820,123,20
821,106,21
822,43,7
823,162,28
824,67,13
825,35,7
826,90,17
827,74,13
828,38,7
829,22,5
830,57,11
831,49,7
832,49,9
833,31,7
834,70,10
835,70,13
836,31,7
837,29,6
838,43,7
839,197,31
840,149,28
841,17,2
842,50,9
843,62,12
844,33,8
845,141,26
846,53,7
847,16,3
848,273,43
849,27,5
850,23,4
851,60,11
852,27,4
853,24,4
854,71,13
855,17,3
856,127,24
857,554,91
858,251,43
859,143,26
860,14,4
861,28,6
862,67,14
863,79,18
864,180,32
865,139,23
866,40,7
867,51,9
868,58,12
869,39,8
870,33,4
871,17,4
872,147,26
873,27,5
874,33,6
875,83,13
876,53,10
877,32,7
878,12,3
879,139,28
880,57,9
881,11,1
882,24,5
883,12,3
884,24,5
885,99,15
886,27,5
887,43,10
888,436,71
889,27,4
890,78,13
891,50,10
892,303,56
893,217,38
894,25,4
895,227,42
896,22,5
897,13,2
898,120,21
899,52,10
900,8,2
901,141,30
902,141,23
903,38,6
904,105,21
905,195,41
906,96,20
907,36,7
908,49,10
909,45,8
910,26,6
911,46,10
912,85,15
913,35,6
914,53,9
915,4,1
916,22,4
917,74,16
918,36,8
919,74,15
920,146,26
921,289,59
922,59,8
923,152,28
924,56,10
925,46,9
926,40,8
927,112,23
928,122,20
929,26,5
930,127,20
931,61,10
932,29,6
933,108,20
934,58,11
935,217,43
936,38,8
937,44,10
938,17,3
939,61,10
940,439,80
941,10,2
942,15,3
943,73,12
944,474,82
945,26,6
946,29,6
947,52,11
948,80,11
949,37,6
950,86,14
951,80,15
952,92,16
953,60,9
954,61,11
955,85,17
956,90,14
957,43,10
958,31,5
959,75,13
960,47,8
961,506,92
962,63,10
963,132,24
964,18,3
965,153,30
966,60,13
967,21,5
968,445,79
969,60,14
970,67,12
971,46,8
972,28,4
973,58,11
974,32,6
975,160,26
976,66,14
977,517,95
978,318,55
979,8,2
980,36,6
981,57,10
982,105,19
983,19,3
984,60,11
985,48,9
986,13,3
987,53,12
988,655,117
989,180,31
990,77,14
991,115,18
992,155,29
993,99,16
994,226,45
995,235,43
996,239,35
997,196,38
998,64,13
999,264,45
1000,201,34
1001,38,7
1002,31,4
1003,71,10
1004,24,3
1005,28,3
1006,109,18
1007,107,16
1008,84,17
1009,215,36
1010,69,14
1011,83,15
1012,72,12
1013,182,36
1014,118,20
1015,89,14
1016,97,18
1017,305,47
1018,56,12
1019,118,17
1020,25,5
1021,24,4
1022,15,2
1023,60,7
1024,55,10
1025,29,7
1026,57,11
1027,161,28
1028,30,6
1029,174,31
1030,271,44
1031,175,28
1032,116,21
1033,149,25
1034,58,12
1035,62,12
1036,47,8
1037,70,12
1038,58,7
1039,31,5
1040,11,1
1041,46,8
1042,10,2
1043,34,5
1044,170,32
1045,114,20
1046,35,9
1047,156,21
1048,199,30
1049,24,4
1050,332,55
1051,202,36
1052,8,2
1053,34,6
1054,72,13
1055,26,4
1056,71,9
1057,47,9
1058,76,14
1059,553,103
1060,46,7
1061,38,7
1062,99,21
1063,178,30
1064,68,12
1065,293,56
1066,65,12
1067,31,7
1068,86,17
1069,50,9
1070,51,9
1071,223,37
1072,67,13
1073,11,1
1074,75,15
1075,210,39
1076,599,104
1077,33,6
1078,38,7
1079,52,10
1080,37,7
1081,227,39
1082,102,22
1083,35,6
1084,181,30
1085,37,9
1086,374,67
1087,176,36
1088,77,16
1089,408,68
1090,175,32
1091,84,17
1092,193,33
1093,97,18
1094,157,30
1095,137,26
1096,75,14
1097,105,22
1098,66,10
1099,108,17
1100,947,166
1101,228,41
1102,67,9
1103,229,42
1104,214,38
1105,176,33
1106,110,21
1107,35,4
1108,162,35
1109,86,15
1110,334,54
1111,222,40
1112,270,54
1113,156,27
1114,98,16
1115,18,5
1116,465,80
1117,117,22
1118,16,3
1119,239,45
1120,83,15
1121,258,46
1122,122,21
1123,235,41
1124,331,57
1125,40,7
1126,54,10
1127,163,26
1128,263,51
1129,123,22
1130,241,45
1131,77,12
1132,41,9
1133,34,7
1134,2519,452
1135,1054,184
1136,43,8
1137,130,24
1138,44,7
1139,196,36
1140,365,67
1141,67,12
1142,107,19
1143,132,23
1144,72,13
1145,268,48
1146,1996,358
1147,175,27
1148,169,29
1149,536,91
1150,340,61
1151,216,38
1152,1418,234
1153,150,27
1154,222,36
1155,252,44
1156,95,17
1157,362,60
1158,23,5
1159,15,3
1160,136,23
1161,19,4
1162,27,5
1163,42,6
1164,409,72
1165,18,4
1166,366,64
1167,114,19
1168,37,8
1169,50,9
1170,36,7
1171,61,11
1172,166,32
1173,124,22
1174,105,20
1175,524,75
1176,38,8
1177,77,13
1178,47,10
1179,132,20
1180,42,9
1181,111,19
1182,257,46
1183,35,6
1184,23,5
1185,453,74
1186,43,9
1187,114,22
1188,95,14
1189,96,12
1190,126,20
1191,77,14
1192,104,16
1193,15,3
1194,32,4
1195,43,8
1196,25,5
1197,47,8
1198,79,12
1199,151,24
1200,59,11
1201,40,7
1202,37,6
1203,114,21
1204,118,20
1205,68,14
1206,68,12
1207,35,6
1208,35,5
1209,13,2
1210,45,8
1211,178,29
1212,103,20
1213,159,28
1214,19,4
1215,70,11
1216,23,4
1217,38,6
1218,402,60
1219,82,15
1220,377,61
1221,51,11
1222,39,6
1223,44,9
1224,42,8
1225,53,10
1226,117,21
1227,23,4
1228,305,50
1229,55,10
1230,24,5
1231,35,6
1232,21,5
1233,26,5
1234,20,3
1235,24,4
1236,55,9
1237,18,4
1238,33,8
1239,14,2
1240,66,14
1241,48,11
1242,77,15
1243,152,26
1244,221,38
1245,462,86
1246,58,11
1247,18,3
1248,180,25
1249,131,24
1250,37,6
1251,65,12
1252,58,9
1253,69,8
1254,200,40
1255,53,12
1256,86,14
1257,14,3
1258,35,5
1259,53,10
1260,156,27
1261,93,17
1262,57,11
1263,44,9
1264,62,12
